 ver(f)	f	x86		00000	01470	30.2700	 9.5293 
 ver(f)	f	x86		00001	01470	30.5310	 9.6115 
 ver(f)	f	x86		00002	01470	30.0090	 9.4471 
 ver(f)	f	x86		00003	01470	29.9620	 9.4323 
 ver(f)	f	x86		00004	01470	30.2670	 9.5283 
 ver(c)	d	x64		00000	00440	0.2230	 2.6179 
 ver(c)	d	x64		00001	00440	0.2220	 2.6061 
 ver(c)	d	x64		00002	00440	0.2210	 2.5944 
 ver(c)	d	x64		00003	00440	0.2220	 2.6061 
 ver(c)	d	x64		00004	00440	0.2210	 2.5944 
 ver(c)	d	x64		00005	00440	0.2220	 2.6061 
 ver(c)	d	x64		00006	00440	0.2210	 2.5944 
 ver(c)	d	x64		00007	00440	0.2220	 2.6061 
 ver(c)	d	x64		00008	00440	0.2230	 2.6179 
 ver(c)	d	x64		00009	00440	0.2220	 2.6061 
 ver(c)	d	x64		00010	00440	0.2230	 2.6179 
 ver(c)	d	x64		00011	00440	0.2210	 2.5944 
 ver(c)	d	x64		00012	00440	0.2230	 2.6179 
 ver(c)	d	x64		00013	00440	0.2220	 2.6061 
 ver(c)	d	x64		00014	00440	0.2220	 2.6061 
 ver(b)	d	x64		00000	00670	0.7470	 2.4837 
 ver(b)	d	x64		00001	00670	0.7400	 2.4604 
 ver(b)	d	x64		00002	00670	0.7280	 2.4205 
 ver(b)	d	x64		00003	00670	0.7460	 2.4804 
 ver(b)	d	x64		00004	00670	0.7450	 2.4770 
 ver(b)	d	x64		00005	00670	0.7330	 2.4371 
 ver(b)	d	x64		00006	00670	0.7320	 2.4338 
 ver(b)	d	x64		00007	00670	0.7430	 2.4704 
 ver(b)	d	x64		00008	00670	0.7310	 2.4305 
 ver(b)	d	x64		00009	00670	0.7280	 2.4205 
 ver(b)	d	x64		00010	00670	0.7310	 2.4305 
 ver(b)	d	x64		00011	00670	0.7390	 2.4571 
 ver(b)	d	x64		00012	00670	0.7280	 2.4205 
 ver(b)	d	x64		00013	00670	0.7310	 2.4305 
 ver(b)	d	x64		00014	00670	0.7300	 2.4272 
 ver(f)	f	x64		00000	00670	0.9990	 3.3216 
 ver(f)	f	x64		00001	00670	0.9660	 3.2118 
 ver(f)	f	x64		00002	00670	0.9680	 3.2185 
 ver(f)	f	x64		00003	00670	0.9700	 3.2251 
 ver(f)	f	x64		00004	00670	0.9650	 3.2085 
 ver(f)	f	x64		00005	00670	0.9640	 3.2052 
 ver(f)	f	x64		00006	00670	0.9640	 3.2052 
 ver(f)	f	x64		00007	00670	0.9730	 3.2351 
 ver(f)	f	x64		00008	00670	0.9740	 3.2384 
 ver(f)	f	x64		00009	00670	0.9700	 3.2251 
 ver(f)	f	x64		00010	00670	0.9700	 3.2251 
