ver(b)	d	x86		00000	01185	9.1850	 5.5198 
 ver(b)	d	x86		00001	01185	9.4050	 5.6520 
 ver(b)	d	x86		00002	01185	9.3080	 5.5937 
 ver(b)	d	x86		00003	01185	9.3070	 5.5931 
 ver(b)	d	x86		00004	01185	11.1950	 6.7277 
 ver(b)	d	x86		00005	01185	9.4740	 5.6935 
 ver(b)	d	x86		00006	01185	9.4700	 5.6911 
 ver(b)	d	x86		00007	01185	9.9460	 5.9771 
 ver(b)	d	x86		00008	01185	9.4350	 5.6700 
 ver(b)	d	x86		00009	01185	9.4220	 5.6622 
 ver(b)	d	x86		00010	01185	9.3390	 5.6124 
 ver(b)	d	x86		00011	01185	9.2540	 5.5613 
 ver(b)	d	x86		00012	01185	9.3010	 5.5895 
 ver(b)	d	x86		00013	01185	9.3160	 5.5985 
 ver(b)	d	x86		00014	01185	9.1930	 5.5246 
 ver(b)	d	x86		00015	01185	9.2420	 5.5541 
 ver(b)	d	x86		00016	01185	9.2300	 5.5469 
 ver(b)	d	x86		00017	01185	9.1890	 5.5222 
 ver(f)	d	x86		00000	00670	1.0610	 3.5277 
 ver(f)	d	x86		00001	00670	1.0670	 3.5476 
 ver(f)	d	x86		00002	00670	1.0480	 3.4845 
 ver(f)	d	x86		00003	00670	1.0600	 3.5244 
 ver(f)	d	x86		00004	00670	1.0580	 3.5177 
 ver(f)	d	x86		00005	00670	1.0580	 3.5177 
 ver(f)	d	x86		00006	00670	1.0620	 3.5310 
 ver(f)	d	x86		00007	00670	1.0570	 3.5144 
 ver(f)	d	x86		00008	00670	1.0430	 3.4678 
 ver(f)	d	x86		00009	00670	1.0470	 3.4811 
 ver(f)	d	x86		00010	00670	1.0460	 3.4778 
 ver(f)	d	x86		00011	00670	1.0440	 3.4712 
 ver(f)	d	x86		00012	00670	1.0490	 3.4878 
 ver(f)	d	x86		00013	00670	1.0700	 3.5576 
 ver(f)	d	x86		00014	00670	1.0650	 3.5410 
 ver(e)	f	x86		00000	02050	79.7410	 9.2559 
 ver(e)	f	x86		00001	02050	83.9430	 9.7437 
 ver(e)	f	x86		00002	02050	83.3430	 9.6740 
 ver(e)	f	x86		00003	02050	81.5950	 9.4711 
 ver(e)	f	x86		00004	02050	79.9120	 9.2758 
 ver(a)	d	x64		00000	01470	8.4930	 2.6737 
 ver(a)	d	x64		00001	01470	8.4940	 2.6740 
 ver(a)	d	x64		00002	01470	8.5070	 2.6781 
 ver(a)	d	x64		00003	01470	8.4940	 2.6740 
 ver(a)	d	x64		00004	01470	8.4990	 2.6756 
 ver(a)	d	x64		00005	01470	8.4920	 2.6734 
 ver(a)	d	x64		00006	01470	8.5320	 2.6860 
 ver(a)	d	x64		00007	01470	8.5180	 2.6815 
 ver(a)	d	x64		00008	01470	8.5420	 2.6891 
 ver(f)	f	x64		00000	00780	1.5390	 3.2431 
 ver(f)	f	x64		00001	00780	1.5310	 3.2262 
 ver(f)	f	x64		00002	00780	1.5320	 3.2283 
 ver(f)	f	x64		00003	00780	1.5330	 3.2304 
 ver(f)	f	x64		00004	00780	1.5330	 3.2304 
 ver(f)	f	x64		00005	00780	1.5340	 3.2325 
 ver(f)	f	x64		00006	00780	1.5490	 3.2641 
 ver(f)	f	x64		00007	00780	1.5370	 3.2388 
 ver(f)	f	x64		00008	00780	1.5330	 3.2304 
 ver(f)	f	x64		00009	00780	1.5340	 3.2325 
 ver(d)	d	x86		00000	00565	0.4600	 2.5504 
 ver(d)	d	x86		00001	00565	0.4610	 2.5560 
 ver(d)	d	x86		00002	00565	0.4580	 2.5393 
 ver(d)	d	x86		00003	00565	0.4600	 2.5504 
 ver(d)	d	x86		00004	00565	0.4600	 2.5504 
 ver(d)	d	x86		00005	00565	0.4590	 2.5449 
 ver(d)	d	x86		00006	00565	0.4580	 2.5393 
 ver(d)	d	x86		00007	00565	0.4600	 2.5504 
 ver(d)	d	x86		00008	00565	0.4590	 2.5449 
 ver(d)	d	x86		00009	00565	0.4610	 2.5560 
 ver(d)	d	x86		00010	00565	0.4640	 2.5726 
 ver(d)	d	x86		00011	00565	0.4580	 2.5393 
 ver(d)	d	x86		00012	00565	0.4590	 2.5449 
 ver(d)	d	x86		00013	00565	0.4600	 2.5504 
 ver(d)	d	x86		00014	00565	0.4580	 2.5393 
 ver(e)	d	x64		00000	00565	0.6520	 3.6149 
 ver(e)	d	x64		00001	00565	0.6440	 3.5706 
 ver(e)	d	x64		00002	00565	0.6470	 3.5872 
 ver(e)	d	x64		00003	00565	0.6420	 3.5595 
 ver(e)	d	x64		00004	00565	0.6430	 3.5651 
 ver(e)	d	x64		00005	00565	0.6410	 3.5540 
 ver(e)	d	x64		00006	00565	0.6420	 3.5595 
 ver(e)	d	x64		00007	00565	0.6480	 3.5928 
 ver(e)	d	x64		00008	00565	0.6520	 3.6149 
 ver(e)	d	x64		00009	00565	0.6480	 3.5928 
 ver(e)	d	x64		00010	00565	0.6470	 3.5872 
 ver(e)	d	x64		00011	00565	0.6450	 3.5761 
 ver(e)	d	x64		00012	00565	0.6440	 3.5706 
 ver(e)	d	x64		00013	00565	0.6410	 3.5540 
 ver(e)	d	x64		00014	00565	0.6410	 3.5540 
 ver(b)	d	x86		00000	00780	1.2750	 2.6867 
 ver(b)	d	x86		00001	00780	1.2680	 2.6720 
 ver(b)	d	x86		00002	00780	1.2540	 2.6425 
 ver(b)	d	x86		00003	00780	1.2660	 2.6678 
 ver(b)	d	x86		00004	00780	1.2520	 2.6383 
 ver(b)	d	x86		00005	00780	1.2630	 2.6615 
