 blocks	 f	x86		00000	02050	16.1630	 1.8761 
 blocks	 f	x86		00001	02050	16.1990	 1.8803 
 blocks	 f	x86		00002	02050	16.2490	 1.8861 
 blocks	 d	x86		00000	01185	3.1190	 1.8744 
 blocks	 d	x86		00001	01185	3.1220	 1.8762 
 blocks	 d	x86		00002	01185	3.1180	 1.8738 
 blocks	 d	x86		00003	01185	3.1230	 1.8768 
 blocks	 d	x86		00004	01185	3.1180	 1.8738 
 blocks	 d	x86		00005	01185	3.1210	 1.8756 
 blocks	 d	x86		00006	01185	3.1150	 1.8720 
 blocks	 d	x86		00000	00170	0.0090	 1.8319 
 blocks	 d	x86		00001	00170	0.0090	 1.8319 
 blocks	 d	x86		00002	00170	0.0100	 2.0354 
 blocks	 d	x86		00003	00170	0.0090	 1.8319 
 blocks	 d	x86		00004	00170	0.0090	 1.8319 
 blocks	 d	x86		00005	00170	0.0100	 2.0354 
 blocks	 d	x86		00006	00170	0.0090	 1.8319 
 blocks	 d	x86		00007	00170	0.0100	 2.0354 
 blocks	 d	x86		00008	00170	0.0090	 1.8319 
 blocks	 d	x86		00009	00170	0.0090	 1.8319 
 blocks	 d	x86		00010	00170	0.0090	 1.8319 
 blocks	 d	x86		00011	00170	0.0100	 2.0354 
 blocks	 d	x86		00012	00170	0.0090	 1.8319 
 blocks	 d	x86		00013	00170	0.0100	 2.0354 
 blocks	 d	x86		00014	00170	0.0090	 1.8319 
 blocks	 d	x64		00000	01185	3.1850	 1.9141 
 blocks	 d	x64		00001	01185	3.1890	 1.9165 
 blocks	 d	x64		00002	01185	3.1840	 1.9135 
 blocks	 d	x64		00003	01185	3.1840	 1.9135 
 blocks	 d	x64		00004	01185	3.1820	 1.9123 
 blocks	 d	x64		00005	01185	3.2900	 1.9772 
 blocks	 d	x64		00006	01185	3.2070	 1.9273 
 blocks	 f	x86		00000	00780	0.8960	 1.8881 
 blocks	 f	x86		00001	00780	0.8970	 1.8902 
 blocks	 f	x86		00002	00780	0.9000	 1.8965 
 blocks	 f	x86		00003	00780	0.8930	 1.8818 
 blocks	 f	x86		00004	00780	0.8960	 1.8881 
 blocks	 f	x86		00005	00780	0.8990	 1.8944 
 blocks	 f	x86		00006	00780	0.8910	 1.8776 
 blocks	 f	x86		00007	00780	0.8920	 1.8797 
 blocks	 f	x86		00008	00780	0.8920	 1.8797 
 blocks	 f	x86		00009	00780	0.8940	 1.8839 
 blocks	 f	x64		00000	00565	0.3480	 1.9295 
 blocks	 f	x64		00001	00565	0.3470	 1.9239 
 blocks	 f	x64		00002	00565	0.3470	 1.9239 
 blocks	 f	x64		00003	00565	0.3440	 1.9073 
 blocks	 f	x64		00004	00565	0.3450	 1.9128 
 blocks	 f	x64		00005	00565	0.3490	 1.9350 
 blocks	 f	x64		00006	00565	0.3440	 1.9073 
 blocks	 f	x64		00007	00565	0.3460	 1.9184 
 blocks	 f	x64		00008	00565	0.3450	 1.9128 
 blocks	 f	x64		00009	00565	0.3460	 1.9184 
 blocks	 f	x64		00010	00565	0.3450	 1.9128 
 blocks	 f	x64		00011	00565	0.3440	 1.9073 
 blocks	 f	x64		00012	00565	0.3440	 1.9073 
 blocks	 f	x64		00013	00565	0.3440	 1.9073 
 blocks	 f	x64		00014	00565	0.3460	 1.9184 
 blocks	 d	x64		00000	00565	0.3470	 1.9239 
 blocks	 d	x64		00001	00565	0.3470	 1.9239 
 blocks	 d	x64		00002	00565	0.3460	 1.9184 
 blocks	 d	x64		00003	00565	0.3470	 1.9239 
 blocks	 d	x64		00004	00565	0.3470	 1.9239 
 blocks	 d	x64		00005	00565	0.3460	 1.9184 
 blocks	 d	x64		00006	00565	0.3450	 1.9128 
 blocks	 d	x64		00007	00565	0.3460	 1.9184 
 blocks	 d	x64		00008	00565	0.3460	 1.9184 
 blocks	 d	x64		00009	00565	0.3450	 1.9128 
 blocks	 d	x64		00010	00565	0.3470	 1.9239 
 blocks	 d	x64		00011	00565	0.3480	 1.9295 
 blocks	 d	x64		00012	00565	0.3480	 1.9295 
 blocks	 d	x64		00013	00565	0.3480	 1.9295 
 blocks	 d	x64		00014	00565	0.3460	 1.9184 
 blocks	 d	x86		00000	02050	16.4930	 1.9144 
 blocks	 d	x86		00001	02050	16.5510	 1.9212 
 blocks	 d	x86		00002	02050	16.5960	 1.9264 
 blocks	 f	x64		00000	00170	0.0090	 1.8319 
 blocks	 f	x64		00001	00170	0.0090	 1.8319 
 blocks	 f	x64		00002	00170	0.0100	 2.0354 
 blocks	 f	x64		00003	00170	0.0090	 1.8319 
 blocks	 f	x64		00004	00170	0.0100	 2.0354 
 blocks	 f	x64		00005	00170	0.0090	 1.8319 
 blocks	 f	x64		00006	00170	0.0090	 1.8319 
 blocks	 f	x64		00007	00170	0.0100	 2.0354 
 blocks	 f	x64		00008	00170	0.0100	 2.0354 
 blocks	 f	x64		00009	00170	0.0100	 2.0354 
 blocks	 f	x64		00010	00170	0.0090	 1.8319 
 blocks	 f	x64		00011	00170	0.0100	 2.0354 
 blocks	 f	x64		00012	00170	0.0100	 2.0354 
 blocks	 f	x64		00013	00170	0.0100	 2.0354 
 blocks	 f	x64		00014	00170	0.0090	 1.8319 
 blocks	 d	x86		00000	00565	0.3390	 1.8796 
 blocks	 d	x86		00001	00565	0.3370	 1.8685 
 blocks	 d	x86		00002	00565	0.3380	 1.8740 
 blocks	 d	x86		00003	00565	0.3380	 1.8740 
 blocks	 d	x86		00004	00565	0.3360	 1.8629 
 blocks	 d	x86		00005	00565	0.3390	 1.8796 
 blocks	 d	x86		00006	00565	0.3350	 1.8574 
 blocks	 d	x86		00007	00565	0.3370	 1.8685 
 blocks	 d	x86		00008	00565	0.3390	 1.8796 
 blocks	 d	x86		00009	00565	0.3370	 1.8685 
 blocks	 d	x86		00010	00565	0.3390	 1.8796 
 blocks	 d	x86		00011	00565	0.3370	 1.8685 
 blocks	 d	x86		00012	00565	0.3360	 1.8629 
 blocks	 d	x86		00013	00565	0.3380	 1.8740 
 blocks	 d	x86		00014	00565	0.3380	 1.8740 
 blocks	 d	x64		00000	02050	17.1150	 1.9866 
 blocks	 d	x64		00001	02050	17.1750	 1.9936 
 blocks	 d	x64		00002	02050	17.1040	 1.9853 
 blocks	 d	x86		00000	00915	1.4510	 1.8941 
 blocks	 d	x86		00001	00915	1.4510	 1.8941 
 blocks	 d	x86		00002	00915	1.4490	 1.8915 
 blocks	 d	x86		00003	00915	1.4520	 1.8954 
 blocks	 d	x86		00004	00915	1.4500	 1.8928 
 blocks	 d	x86		00005	00915	1.4430	 1.8837 
 blocks	 d	x86		00006	00915	1.4490	 1.8915 
 blocks	 d	x86		00007	00915	1.4500	 1.8928 
 blocks	 d	x86		00008	00915	1.4520	 1.8954 
 blocks	 d	x86		00009	00915	1.4540	 1.8980 
 blocks	 d	x86		00000	00440	0.1610	 1.8900 
 blocks	 d	x86		00001	00440	0.1590	 1.8665 
 blocks	 d	x86		00002	00440	0.1590	 1.8665 
 blocks	 d	x86		00003	00440	0.1590	 1.8665 
 blocks	 d	x86		00004	00440	0.1590	 1.8665 
 blocks	 d	x86		00005	00440	0.1580	 1.8548 
 blocks	 d	x86		00006	00440	0.1590	 1.8665 
 blocks	 d	x86		00007	00440	0.1590	 1.8665 
 blocks	 d	x86		00008	00440	0.1580	 1.8548 
 blocks	 d	x86		00009	00440	0.1600	 1.8783 
 blocks	 d	x86		00010	00440	0.1580	 1.8548 
 blocks	 d	x86		00011	00440	0.1580	 1.8548 
 blocks	 d	x86		00012	00440	0.1590	 1.8665 
 blocks	 d	x86		00013	00440	0.1590	 1.8665 
 blocks	 d	x86		00014	00440	0.1590	 1.8665 
 blocks	 d	x64		00000	00780	0.9080	 1.9134 
 blocks	 d	x64		00001	00780	0.9080	 1.9134 
 blocks	 d	x64		00002	00780	0.9120	 1.9218 
 blocks	 d	x64		00003	00780	0.9060	 1.9092 
 blocks	 d	x64		00004	00780	0.9040	 1.9050 
 blocks	 d	x64		00005	00780	0.9070	 1.9113 
 blocks	 d	x64		00006	00780	0.9060	 1.9092 
 blocks	 d	x64		00007	00780	0.9040	 1.9050 
 blocks	 d	x64		00008	00780	0.9090	 1.9155 
 blocks	 d	x64		00009	00780	0.9060	 1.9092 
 blocks	 f	x64		00000	00440	0.1620	 1.9018 
 blocks	 f	x64		00001	00440	0.1620	 1.9018 
 blocks	 f	x64		00002	00440	0.1630	 1.9135 
 blocks	 f	x64		00003	00440	0.1620	 1.9018 
 blocks	 f	x64		00004	00440	0.1630	 1.9135 
 blocks	 f	x64		00005	00440	0.1620	 1.9018 
 blocks	 f	x64		00006	00440	0.1620	 1.9018 
 blocks	 f	x64		00007	00440	0.1630	 1.9135 
 blocks	 f	x64		00008	00440	0.1620	 1.9018 
 blocks	 f	x64		00009	00440	0.1620	 1.9018 
 blocks	 f	x64		00010	00440	0.1610	 1.8900 
 blocks	 f	x64		00011	00440	0.1620	 1.9018 
 blocks	 f	x64		00012	00440	0.1620	 1.9018 
 blocks	 f	x64		00013	00440	0.1630	 1.9135 
 blocks	 f	x64		00014	00440	0.1610	 1.8900 
 blocks	 d	x64		00000	00670	0.5730	 1.9052 
 blocks	 d	x64		00001	00670	0.5760	 1.9151 
 blocks	 d	x64		00002	00670	0.5740	 1.9085 
 blocks	 d	x64		00003	00670	0.5760	 1.9151 
 blocks	 d	x64		00004	00670	0.5760	 1.9151 
 blocks	 d	x64		00005	00670	0.5750	 1.9118 
 blocks	 d	x64		00006	00670	0.5750	 1.9118 
 blocks	 d	x64		00007	00670	0.5740	 1.9085 
 blocks	 d	x64		00008	00670	0.5740	 1.9085 
 blocks	 d	x64		00009	00670	0.5730	 1.9052 
 blocks	 d	x64		00010	00670	0.5750	 1.9118 
 blocks	 d	x64		00011	00670	0.5740	 1.9085 
 blocks	 d	x64		00012	00670	0.5740	 1.9085 
 blocks	 d	x64		00013	00670	0.5750	 1.9118 
 blocks	 d	x64		00014	00670	0.5780	 1.9218 
 blocks	 f	x86		00000	01185	3.1220	 1.8762 
 blocks	 f	x86		00001	01185	3.1190	 1.8744 
 blocks	 f	x86		00002	01185	3.1230	 1.8768 
 blocks	 f	x86		00003	01185	3.1210	 1.8756 
 blocks	 f	x86		00004	01185	3.1340	 1.8834 
 blocks	 f	x86		00005	01185	3.1340	 1.8834 
 blocks	 f	x86		00006	01185	3.1370	 1.8852 
 blocks	 f	x64		00000	01185	3.1540	 1.8954 
 blocks	 f	x64		00001	01185	3.1510	 1.8936 
 blocks	 f	x64		00002	01185	3.1520	 1.8942 
 blocks	 f	x64		00003	01185	3.1520	 1.8942 
 blocks	 f	x64		00004	01185	3.1530	 1.8948 
 blocks	 f	x64		00005	01185	3.1550	 1.8960 
 blocks	 f	x64		00006	01185	3.1510	 1.8936 
 blocks	 d	x86		00000	00780	0.8840	 1.8628 
 blocks	 d	x86		00001	00780	0.8880	 1.8712 
 blocks	 d	x86		00002	00780	0.8870	 1.8691 
 blocks	 d	x86		00003	00780	0.8900	 1.8755 
 blocks	 d	x86		00004	00780	0.8920	 1.8797 
 blocks	 d	x86		00005	00780	0.8840	 1.8628 
 blocks	 d	x86		00006	00780	0.8890	 1.8733 
 blocks	 d	x86		00007	00780	0.8870	 1.8691 
 blocks	 d	x86		00008	00780	0.8850	 1.8649 
 blocks	 d	x86		00009	00780	0.8870	 1.8691 
 blocks	 f	x64		00000	00670	0.5740	 1.9085 
 blocks	 f	x64		00001	00670	0.5710	 1.8985 
 blocks	 f	x64		00002	00670	0.5720	 1.9018 
 blocks	 f	x64		00003	00670	0.5700	 1.8952 
 blocks	 f	x64		00004	00670	0.5720	 1.9018 
 blocks	 f	x64		00005	00670	0.5710	 1.8985 
 blocks	 f	x64		00006	00670	0.5710	 1.8985 
 blocks	 f	x64		00007	00670	0.5710	 1.8985 
 blocks	 f	x64		00008	00670	0.5710	 1.8985 
 blocks	 f	x64		00009	00670	0.5720	 1.9018 
 blocks	 f	x64		00010	00670	0.5720	 1.9018 
 blocks	 f	x64		00011	00670	0.5720	 1.9018 
 blocks	 f	x64		00012	00670	0.5700	 1.8952 
 blocks	 f	x64		00013	00670	0.5730	 1.9052 
 blocks	 f	x64		00014	00670	0.5730	 1.9052 
 blocks	 d	x86		00000	00670	0.5600	 1.8619 
 blocks	 d	x86		00001	00670	0.5620	 1.8686 
 blocks	 d	x86		00002	00670	0.5620	 1.8686 
 blocks	 d	x86		00003	00670	0.5610	 1.8653 
 blocks	 d	x86		00004	00670	0.5610	 1.8653 
 blocks	 d	x86		00005	00670	0.5620	 1.8686 
 blocks	 d	x86		00006	00670	0.5620	 1.8686 
 blocks	 d	x86		00007	00670	0.5630	 1.8719 
 blocks	 d	x86		00008	00670	0.5610	 1.8653 
 blocks	 d	x86		00009	00670	0.5610	 1.8653 
 blocks	 d	x86		00010	00670	0.5620	 1.8686 
 blocks	 d	x86		00011	00670	0.5630	 1.8719 
 blocks	 d	x86		00012	00670	0.5620	 1.8686 
 blocks	 d	x86		00013	00670	0.5610	 1.8653 
 blocks	 d	x86		00014	00670	0.5640	 1.8752 
 blocks	 f	x64		00000	00780	0.9010	 1.8986 
 blocks	 f	x64		00001	00780	0.9010	 1.8986 
