 blocks	 f	x86		00000	02050	23.6580	 2.7461 
 blocks	 f	x86		00001	02050	23.6950	 2.7504 
 blocks	 f	x86		00002	02050	23.6750	 2.7481 
 blocks	 d	x86		00000	01185	4.7440	 2.8510 
 blocks	 d	x86		00001	01185	4.7520	 2.8558 
 blocks	 d	x86		00002	01185	4.7380	 2.8473 
 blocks	 d	x86		00003	01185	4.7440	 2.8510 
 blocks	 d	x86		00004	01185	4.7350	 2.8455 
 blocks	 d	x86		00005	01185	4.7390	 2.8479 
 blocks	 d	x86		00006	01185	4.7360	 2.8461 
 blocks	 d	x86		00000	00170	0.0150	 3.0531 
 blocks	 d	x86		00001	00170	0.0140	 2.8496 
 blocks	 d	x86		00002	00170	0.0130	 2.6460 
 blocks	 d	x86		00003	00170	0.0130	 2.6460 
 blocks	 d	x86		00004	00170	0.0130	 2.6460 
 blocks	 d	x86		00005	00170	0.0130	 2.6460 
 blocks	 d	x86		00006	00170	0.0130	 2.6460 
 blocks	 d	x86		00007	00170	0.0140	 2.8496 
 blocks	 d	x86		00008	00170	0.0140	 2.8496 
 blocks	 d	x86		00009	00170	0.0130	 2.6460 
 blocks	 d	x86		00010	00170	0.0140	 2.8496 
 blocks	 d	x86		00011	00170	0.0140	 2.8496 
 blocks	 d	x86		00012	00170	0.0140	 2.8496 
 blocks	 d	x86		00013	00170	0.0140	 2.8496 
 blocks	 d	x86		00014	00170	0.0130	 2.6460 
 blocks	 d	x64		00000	01185	4.7410	 2.8491 
 blocks	 d	x64		00001	01185	4.7450	 2.8516 
 blocks	 d	x64		00002	01185	4.7450	 2.8516 
 blocks	 d	x64		00003	01185	4.7440	 2.8510 
 blocks	 d	x64		00004	01185	4.7440	 2.8510 
 blocks	 d	x64		00005	01185	4.7490	 2.8540 
 blocks	 d	x64		00006	01185	4.7430	 2.8503 
 blocks	 f	x86		00000	00780	1.2870	 2.7120 
 blocks	 f	x86		00001	00780	1.2860	 2.7099 
 blocks	 f	x86		00002	00780	1.2860	 2.7099 
 blocks	 f	x86		00003	00780	1.2880	 2.7141 
 blocks	 f	x86		00004	00780	1.2900	 2.7184 
 blocks	 f	x86		00005	00780	1.2890	 2.7162 
 blocks	 f	x86		00006	00780	1.2890	 2.7162 
 blocks	 f	x86		00007	00780	1.2850	 2.7078 
 blocks	 f	x86		00008	00780	1.2880	 2.7141 
 blocks	 f	x86		00009	00780	1.2850	 2.7078 
 blocks	 f	x64		00000	00565	0.4910	 2.7223 
 blocks	 f	x64		00001	00565	0.4940	 2.7389 
 blocks	 f	x64		00002	00565	0.4900	 2.7168 
 blocks	 f	x64		00003	00565	0.4910	 2.7223 
 blocks	 f	x64		00004	00565	0.4940	 2.7389 
 blocks	 f	x64		00005	00565	0.4900	 2.7168 
 blocks	 f	x64		00006	00565	0.4900	 2.7168 
 blocks	 f	x64		00007	00565	0.4920	 2.7278 
 blocks	 f	x64		00008	00565	0.4910	 2.7223 
 blocks	 f	x64		00009	00565	0.4930	 2.7334 
 blocks	 f	x64		00010	00565	0.4900	 2.7168 
 blocks	 f	x64		00011	00565	0.4900	 2.7168 
 blocks	 f	x64		00012	00565	0.4900	 2.7168 
 blocks	 f	x64		00013	00565	0.4920	 2.7278 
 blocks	 f	x64		00014	00565	0.4900	 2.7168 
 blocks	 d	x64		00000	00565	0.4920	 2.7278 
 blocks	 d	x64		00001	00565	0.4920	 2.7278 
 blocks	 d	x64		00002	00565	0.4910	 2.7223 
 blocks	 d	x64		00003	00565	0.4910	 2.7223 
 blocks	 d	x64		00004	00565	0.4920	 2.7278 
 blocks	 d	x64		00005	00565	0.4930	 2.7334 
 blocks	 d	x64		00006	00565	0.4970	 2.7556 
 blocks	 d	x64		00007	00565	0.4920	 2.7278 
 blocks	 d	x64		00008	00565	0.4910	 2.7223 
 blocks	 d	x64		00009	00565	0.4920	 2.7278 
 blocks	 d	x64		00010	00565	0.4940	 2.7389 
 blocks	 d	x64		00011	00565	0.4940	 2.7389 
 blocks	 d	x64		00012	00565	0.4920	 2.7278 
 blocks	 d	x64		00013	00565	0.4910	 2.7223 
 blocks	 d	x64		00014	00565	0.4910	 2.7223 
 blocks	 d	x86		00000	02050	23.8680	 2.7705 
 blocks	 d	x86		00001	02050	23.8790	 2.7718 
 blocks	 d	x86		00002	02050	23.8730	 2.7711 
 blocks	 f	x64		00000	00170	0.0150	 3.0531 
 blocks	 f	x64		00001	00170	0.0140	 2.8496 
 blocks	 f	x64		00002	00170	0.0140	 2.8496 
 blocks	 f	x64		00003	00170	0.0140	 2.8496 
 blocks	 f	x64		00004	00170	0.0140	 2.8496 
 blocks	 f	x64		00005	00170	0.0130	 2.6460 
 blocks	 f	x64		00006	00170	0.0130	 2.6460 
 blocks	 f	x64		00007	00170	0.0130	 2.6460 
 blocks	 f	x64		00008	00170	0.0130	 2.6460 
 blocks	 f	x64		00009	00170	0.0140	 2.8496 
 blocks	 f	x64		00010	00170	0.0130	 2.6460 
 blocks	 f	x64		00011	00170	0.0140	 2.8496 
 blocks	 f	x64		00012	00170	0.0140	 2.8496 
 blocks	 f	x64		00013	00170	0.0140	 2.8496 
 blocks	 f	x64		00014	00170	0.0130	 2.6460 
 blocks	 d	x86		00000	00565	0.4930	 2.7334 
 blocks	 d	x86		00001	00565	0.4910	 2.7223 
 blocks	 d	x86		00002	00565	0.4910	 2.7223 
 blocks	 d	x86		00003	00565	0.4920	 2.7278 
 blocks	 d	x86		00004	00565	0.4920	 2.7278 
 blocks	 d	x86		00005	00565	0.4920	 2.7278 
 blocks	 d	x86		00006	00565	0.4920	 2.7278 
 blocks	 d	x86		00007	00565	0.5100	 2.8276 
 blocks	 d	x86		00008	00565	0.4930	 2.7334 
 blocks	 d	x86		00009	00565	0.4920	 2.7278 
 blocks	 d	x86		00010	00565	0.4950	 2.7445 
 blocks	 d	x86		00011	00565	0.4970	 2.7556 
 blocks	 d	x86		00012	00565	0.4960	 2.7500 
 blocks	 d	x86		00013	00565	0.4910	 2.7223 
 blocks	 d	x86		00014	00565	0.4930	 2.7334 
 blocks	 d	x64		00000	02050	23.9300	 2.7777 
 blocks	 d	x64		00001	02050	23.9530	 2.7803 
 blocks	 d	x64		00002	02050	23.9460	 2.7795 
 blocks	 d	x86		00000	00915	2.1380	 2.7909 
 blocks	 d	x86		00001	00915	2.1380	 2.7909 
 blocks	 d	x86		00002	00915	2.1370	 2.7896 
 blocks	 d	x86		00003	00915	2.1380	 2.7909 
 blocks	 d	x86		00004	00915	2.1390	 2.7922 
 blocks	 d	x86		00005	00915	2.1390	 2.7922 
 blocks	 d	x86		00006	00915	2.1380	 2.7909 
 blocks	 d	x86		00007	00915	2.1390	 2.7922 
 blocks	 d	x86		00008	00915	2.1330	 2.7844 
 blocks	 d	x86		00009	00915	2.1400	 2.7935 
 blocks	 d	x86		00000	00440	0.2330	 2.7353 
 blocks	 d	x86		00001	00440	0.2320	 2.7235 
 blocks	 d	x86		00002	00440	0.2320	 2.7235 
 blocks	 d	x86		00003	00440	0.2320	 2.7235 
 blocks	 d	x86		00004	00440	0.2320	 2.7235 
 blocks	 d	x86		00005	00440	0.2330	 2.7353 
 blocks	 d	x86		00006	00440	0.2310	 2.7118 
 blocks	 d	x86		00007	00440	0.2320	 2.7235 
 blocks	 d	x86		00008	00440	0.2320	 2.7235 
 blocks	 d	x86		00009	00440	0.2320	 2.7235 
 blocks	 d	x86		00010	00440	0.2330	 2.7353 
 blocks	 d	x86		00011	00440	0.2320	 2.7235 
 blocks	 d	x86		00012	00440	0.2320	 2.7235 
 blocks	 d	x86		00013	00440	0.2320	 2.7235 
 blocks	 d	x86		00014	00440	0.2320	 2.7235 
 blocks	 d	x64		00000	00780	1.3020	 2.7436 
 blocks	 d	x64		00001	00780	1.3040	 2.7479 
 blocks	 d	x64		00002	00780	1.3010	 2.7415 
 blocks	 d	x64		00003	00780	1.3030	 2.7457 
 blocks	 d	x64		00004	00780	1.3030	 2.7457 
 blocks	 d	x64		00005	00780	1.3010	 2.7415 
 blocks	 d	x64		00006	00780	1.3030	 2.7457 
 blocks	 d	x64		00007	00780	1.3000	 2.7394 
 blocks	 d	x64		00008	00780	1.3010	 2.7415 
 blocks	 d	x64		00009	00780	1.3030	 2.7457 
 blocks	 f	x64		00000	00440	0.2320	 2.7235 
 blocks	 f	x64		00001	00440	0.2310	 2.7118 
 blocks	 f	x64		00002	00440	0.2310	 2.7118 
 blocks	 f	x64		00003	00440	0.2350	 2.7587 
 blocks	 f	x64		00004	00440	0.2330	 2.7353 
 blocks	 f	x64		00005	00440	0.2300	 2.7000 
 blocks	 f	x64		00006	00440	0.2320	 2.7235 
 blocks	 f	x64		00007	00440	0.2320	 2.7235 
 blocks	 f	x64		00008	00440	0.2310	 2.7118 
 blocks	 f	x64		00009	00440	0.2300	 2.7000 
 blocks	 f	x64		00010	00440	0.2310	 2.7118 
 blocks	 f	x64		00011	00440	0.2320	 2.7235 
 blocks	 f	x64		00012	00440	0.2310	 2.7118 
 blocks	 f	x64		00013	00440	0.2310	 2.7118 
 blocks	 f	x64		00014	00440	0.2310	 2.7118 
 blocks	 d	x64		00000	00670	0.8210	 2.7297 
 blocks	 d	x64		00001	00670	0.8240	 2.7397 
 blocks	 d	x64		00002	00670	0.8210	 2.7297 
 blocks	 d	x64		00003	00670	0.8190	 2.7231 
 blocks	 d	x64		00004	00670	0.8200	 2.7264 
 blocks	 d	x64		00005	00670	0.8230	 2.7364 
 blocks	 d	x64		00006	00670	0.8220	 2.7330 
 blocks	 d	x64		00007	00670	0.8200	 2.7264 
 blocks	 d	x64		00008	00670	0.8190	 2.7231 
 blocks	 d	x64		00009	00670	0.8190	 2.7231 
 blocks	 d	x64		00010	00670	0.8190	 2.7231 
 blocks	 d	x64		00011	00670	0.8190	 2.7231 
 blocks	 d	x64		00012	00670	0.8200	 2.7264 
 blocks	 d	x64		00013	00670	0.8190	 2.7231 
 blocks	 d	x64		00014	00670	0.8210	 2.7297 
 blocks	 f	x86		00000	01185	4.5180	 2.7151 
 blocks	 f	x86		00001	01185	4.5180	 2.7151 
 blocks	 f	x86		00002	01185	4.5190	 2.7157 
 blocks	 f	x86		00003	01185	4.5160	 2.7139 
 blocks	 f	x86		00004	01185	4.5150	 2.7133 
 blocks	 f	x86		00005	01185	4.5130	 2.7121 
 blocks	 f	x86		00006	01185	4.5110	 2.7109 
 blocks	 f	x64		00000	01185	4.5230	 2.7181 
 blocks	 f	x64		00001	01185	4.5430	 2.7302 
 blocks	 f	x64		00002	01185	4.5310	 2.7229 
 blocks	 f	x64		00003	01185	4.5280	 2.7211 
 blocks	 f	x64		00004	01185	4.5250	 2.7193 
 blocks	 f	x64		00005	01185	4.5260	 2.7199 
 blocks	 f	x64		00006	01185	4.5250	 2.7193 
 blocks	 d	x86		00000	00780	1.3030	 2.7457 
 blocks	 d	x86		00001	00780	1.3000	 2.7394 
 blocks	 d	x86		00002	00780	1.2980	 2.7352 
 blocks	 d	x86		00003	00780	1.3080	 2.7563 
 blocks	 d	x86		00004	00780	1.3020	 2.7436 
 blocks	 d	x86		00005	00780	1.3000	 2.7394 
 blocks	 d	x86		00006	00780	1.2980	 2.7352 
 blocks	 d	x86		00007	00780	1.2990	 2.7373 
 blocks	 d	x86		00008	00780	1.3010	 2.7415 
 blocks	 d	x86		00009	00780	1.2990	 2.7373 
 blocks	 f	x64		00000	00670	0.8170	 2.7164 
 blocks	 f	x64		00001	00670	0.8150	 2.7098 
 blocks	 f	x64		00002	00670	0.8150	 2.7098 
 blocks	 f	x64		00003	00670	0.8150	 2.7098 
 blocks	 f	x64		00004	00670	0.8150	 2.7098 
 blocks	 f	x64		00005	00670	0.8150	 2.7098 
 blocks	 f	x64		00006	00670	0.8170	 2.7164 
 blocks	 f	x64		00007	00670	0.8170	 2.7164 
 blocks	 f	x64		00008	00670	0.8150	 2.7098 
 blocks	 f	x64		00009	00670	0.8170	 2.7164 
 blocks	 f	x64		00010	00670	0.8160	 2.7131 
 blocks	 f	x64		00011	00670	0.8150	 2.7098 
 blocks	 f	x64		00012	00670	0.8160	 2.7131 
 blocks	 f	x64		00013	00670	0.8150	 2.7098 
 blocks	 f	x64		00014	00670	0.8150	 2.7098 
 blocks	 d	x86		00000	00670	0.8200	 2.7264 
 blocks	 d	x86		00001	00670	0.8210	 2.7297 
 blocks	 d	x86		00002	00670	0.8200	 2.7264 
 blocks	 d	x86		00003	00670	0.8190	 2.7231 
 blocks	 d	x86		00004	00670	0.8200	 2.7264 
 blocks	 d	x86		00005	00670	0.8200	 2.7264 
 blocks	 d	x86		00006	00670	0.8180	 2.7197 
 blocks	 d	x86		00007	00670	0.8200	 2.7264 
 blocks	 d	x86		00008	00670	0.8190	 2.7231 
 blocks	 d	x86		00009	00670	0.8200	 2.7264 
 blocks	 d	x86		00010	00670	0.8190	 2.7231 
 blocks	 d	x86		00011	00670	0.8220	 2.7330 
 blocks	 d	x86		00012	00670	0.8210	 2.7297 
 blocks	 d	x86		00013	00670	0.8190	 2.7231 
